Reference_ID,Treatment_ID,experiment,coupling,water_source,fish_species,plant_species,pH_Na,pH_K,pH_Ca,remineralization,fertilizer,chelator,plant_cultivation,group
Khiari2019,40_5.5,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
Khiari2019,40_6.0,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
Khiari2019,40_6.5,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
Delaide2018,ANR,remineralisation,-,0,Nile tilapia,0,0,0,0,anaerobic,0,0,-,Percids
Monsees2017,Exp1_anaerobic,remineralisation,-,0,Nile tilapia,0,0,0,0,anaerobic,0,0,-,Percids
Roosta2013,Rep1,aquaponics,permanent,tap,Common Carp,0,0,0,0,0,0,0,0,Cyprinids
Roosta2013,Rep2,aquaponics,permanent,tap,Grass carp,0,0,0,0,0,Fertilizer,0,0,Cyprinids
Roosta2013,Rep3,aquaponics,permanent,tap,Silver carp,0,0,0,0,0,0,0,0,Cyprinids
Roosta2014,Rep1,aquaponics,permanent,tap,Common Carp,Ocimum basalicum,0,0,0,0,-,0,0,Cyprinids
Roosta2014,Rep2,aquaponics,permanent,tap,Grass carp,Ocimum basalicum,0,0,0,0,Fertilizer,0,0,Cyprinids
Roosta2014,Rep3,aquaponics,permanent,tap,Silver carp,Ocimum basalicum,0,0,0,0,0,0,0,Cyprinids
Yang2020,AP_Tomato,aquaponics,permanent,osmosis,Nile tilapia,Solanum lycopersicum,TRUE,TRUE,TRUE,0, ,0,0,Percids
Yang2020,AP_Basil,aquaponics,permanent,osmosis,Nile tilapia,Ocimum basalicum,TRUE,TRUE,TRUE,0,0,0,0,Percids
Yang2020,AP_Lettuce,aquaponics,permanent,osmosis,Nile tilapia,Latuca sativa,TRUE,TRUE,TRUE,0,0,0,0,Percids
Anderson2017,A7,hydroponics,permanent,tap,Koi carp,Latuca sativa,0,0,0,0,0,0,0,Cyprinids
Blanchard2020,pH7,hydroponics,on-demand,0,Nile tilapia,Latuca sativa,FALSE,FALSE,TRUE,0,0,0,Dutch bucket,Percids
Blanchard2020,pH6.5,hydroponics,on-demand,0,Nile tilapia,Latuca sativa,FALSE,FALSE,TRUE,0,0,0,Dutch bucket,Percids
Blanchard2020,pH5.8,hydroponics,on-demand,0,Nile tilapia,Latuca sativa,FALSE,FALSE,TRUE,0,0,0,Dutch bucket,Percids
Blanchard2020,pH5,hydroponics,on-demand,0,Nile tilapia,Latuca sativa,FALSE,FALSE,TRUE,0,0,0,Dutch bucket,Percids
Pinero2020,100S,hydroponics,0,0,Nile tilapia,Latuca sativa,0,0,0,0,Fertilizer,FALSE,0,Percids
Pinero2021,50F50D,hydroponics,0,0,Nile tilapia,Latuca sativa,0,0,0,0,0,FALSE,0,Percids
Pinero2022,50F50D+S,hydroponics,0,0,Nile tilapia,Latuca sativa,0,0,0,0,Fertilizer,FALSE,0,Percids
Pinero2023,50F50D+F,hydroponics,0,0,Nile tilapia,Latuca sativa,0,0,0,0,0,FALSE,0,Percids
